Feature,Skewness,Kurtosis
Open,0.3167089476446679,-1.3315748472843039
High,0.3106361122316803,-1.3414642948849949
Low,0.3223397532412592,-1.321803368229033
Close,0.31490395688945505,-1.3323958839619774
Volume,2.2212467825266886,9.262990654235768
MarketValue,0.24158928386094192,-1.3939954114734312
DividendYield,-0.2880357454100272,-0.9658476003268484
PriceToEarnings,0.465035188899138,0.17432080023669938
EPS,0.7215966815588396,-0.7960634992104172
PriceToCash,0.504466073193485,-0.4194929332804844
PriceToBook,0.47736903409360426,-1.1807177075832327
ABER_ZG_5_15,0.316965100514452,-1.3350413616563
ABER_SG_5_15,0.30591494789141527,-1.3554291859272312
ABER_XG_5_15,0.32859812750212797,-1.313525911878464
ABER_ATR_5_15,0.587648836841014,-0.6323202751890014
ACCBL_20,0.3516227177788812,-1.2936500207839519
ACCBM_20,0.32087643307850044,-1.3436598426546789
ACCBU_20,0.29528937120841303,-1.3879123311629613
AD,-0.43036926682967624,-1.2571139267369276
ADOSC_3_10,-0.21801596626999015,1.6999483928341226
ADX_14,1.034224418028008,0.7114723281567334
ADXR_14_2,1.0372008180977097,0.7182890236715278
DMP_14,0.9172519202364997,0.2498419234187419
DMN_14,1.268252804606796,1.3774523375064405
AGj_13_8_5,0.31858322401063477,-1.3534483441281986
AGt_13_8_5,0.31659316144428645,-1.3463643317308225
AGl_13_8_5,0.3157170313485,-1.3410148378951239
ALMA_9_6.0_0.85,0.3162790975063184,-1.335074605431448
ALPHAT_14_1_50,0.316332001260001,-1.3566561459138482
ALPHATl_14_1_50_2,0.3191034008961395,-1.3556619500676554
AMATe_LR_8_21_2,-0.21344202561948883,-1.956032787308467
AMATe_SR_8_21_2,0.21344202561948883,-1.956032787308467
AO_5_34,-0.28385163311373357,1.2090607854346294
OBV,-0.5878445973057602,-1.3105845057365562
OBV_min_2,-0.5861389073398123,-1.3134612887047552
OBV_max_2,-0.5877697111475979,-1.3112031810552285
OBVe_4,-0.5851384152356695,-1.3165076949851837
OBVe_12,-0.5778819786676284,-1.3304378978942002
AOBV_LR_2,-0.051246724498511115,-1.9989989765156968
AOBV_SR_2,0.051246724498511115,-1.9989989765156968
APO_12_26,-0.18044825082978244,1.497010128811323
AROOND_14,0.14112842378055485,-1.4471273784608014
AROONU_14,-0.18114635546389335,-1.4449322886178166
AROONOSC_14,-0.14284649800212354,-1.4230827084649145
ATRr_14,0.6062662969655018,-0.5632970046276222
ATRTSe_14_20_3.0,0.3238923914358318,-1.3814418637120565
BBL_5_2.0,0.3276263834511035,-1.310890151972758
BBM_5_2.0,0.3159757689384569,-1.3353734497426457
BBU_5_2.0,0.30791367837075145,-1.3506478562444184
BBB_5_2.0,1.8183135502841443,5.39357681951536
BBP_5_2.0,-0.14219414478284534,-1.2865394150673775
BIAS_SMA_26,-0.31513657525752503,0.618628970732459
BOP,-0.046575594373864826,-1.1487297960922327
AR_26,1.297414365068613,2.6354094567696436
BR_26,1.526457668886582,4.535267946790043
CCI_14_0.015,-1.3874241762558897,2.3894421397277306
CDL_2CROWS,-35.05707889033106,1227.9967456526972
CDL_3BLACKCROWS,-35.05707889033106,1227.9967456526972
CDL_3INSIDE,0.2106112692568802,63.64378668024175
CDL_3LINESTRIKE,49.608467019249886,2461.000000000002
CDL_3OUTSIDE,0.1035213776848677,24.395538240120672
CDL_3STARSINSOUTH,0.0,0.0
CDL_3WHITESOLDIERS,49.608467019249886,2461.000000000002
CDL_ABANDONEDBABY,0.0,0.0
CDL_ADVANCEBLOCK,-13.657978172805096,184.69046099027165
CDL_BELTHOLD,-0.06968696498353592,3.534716971555768
CDL_BREAKAWAY,49.608467019249865,2461.000000000001
CDL_CLOSINGMARUBOZU,0.1938630737666272,3.845962972927791
CDL_CONCEALBABYSWALL,0.0,0.0
CDL_COUNTERATTACK,0.0,613.4981689951163
CDL_DARKCLOUDCOVER,-18.681532587278898,347.28188751312405
CDL_DOJI_10_0.1,2.2338111294093577,2.992343312862955
CDL_DOJISTAR,-0.915684039441368,38.74973090950587
CDL_DRAGONFLYDOJI,8.090472006892345,63.50734766052745
CDL_ENGULFING,-0.26934522979138253,9.758693305114019
CDL_EVENINGDOJISTAR,-28.60650238988926,816.9959329769439
CDL_EVENINGSTAR,-15.601306013641203,241.59708932000123
CDL_GAPSIDESIDEWHITE,9.519979076358746,818.7768440382548
CDL_GRAVESTONEDOJI,9.053944296604108,80.03895256452893
CDL_HAMMER,6.285166637289309,37.533821910669985
CDL_HANGINGMAN,-6.732853475911019,43.36655831706319
CDL_HARAMI,0.041689348386596145,9.642167794019567
CDL_HARAMICROSS,-0.09644339420640535,37.422189021297974
CDL_HIGHWAVE,0.209997308354734,5.037701369660969
CDL_HIKKAKE,0.5133609809813501,10.074686666095433
CDL_HIKKAKEMOD,49.60846701924992,2461.0000000000036
CDL_HOMINGPIGEON,8.210412693738084,65.46407715881111
CDL_IDENTICAL3CROWS,0.0,0.0
CDL_INNECK,-20.19074032720021,405.99593828379227
CDL_INSIDE,2.336142482946151,3.460373209235316
CDL_INVERTEDHAMMER,9.219977096944865,83.07549063451916
CDL_KICKING,0.0,0.0
CDL_KICKINGBYLENGTH,0.0,0.0
CDL_LADDERBOTTOM,22.131403663158174,488.19577342606914
CDL_LONGLEGGEDDOJI,2.190717768984321,2.8015204167559595
CDL_LONGLINE,0.09011544953185266,2.1586494855851397
